ID,total,slight,serious,neigh,Road_name,Road_name2,h,Day_of_Week,m,Speed_limit,Junction_Detail,Junction_Control,Pedestrian_Crossing-Physical_Facilities,aadf_Road_name,aadf_Road_category,aadf_Road_type,distance_to_cp,aadf_Pedal_cycles,aadf_All_motor_vehicles,aadf_All_HGVs,aadf_LGVs,aadf_Buses_and_coaches,total_norm,serious_ratio,N_year,Year_start,Year_end,Max_year_gap
94,58165,45,38,7,2,A202,A202,9,6,11,30,3,4,0,A202,PA,Major,8.966782975587347e-06,2064.288888888889,20347.155555555557,842.9555555555555,3713.7555555555555,1164.1555555555556,0.021799274434026246,0.15555555555555556,22,2000,2021,1
95,7672,45,39,6,12,A4201,C,9,4,4,30,6,2,5,A4201,PA,Major,3.373912919686642e-05,1352.0,14839.155555555555,764.5777777777778,2046.2666666666667,1176.2666666666667,0.03328402366863906,0.13333333333333333,22,2000,2021,1
96,6107,45,38,7,8,A3,C,8,3,10,30,6,2,0,A3,PA,Major,1.5257652038625754e-05,2987.822222222222,16813.71111111111,682.0666666666667,3423.0666666666666,1342.5555555555557,0.015061137060066046,0.15555555555555556,22,2000,2021,1
97,38567,45,39,6,8,A200,U,8,6,10,30,3,4,0,A200,PA,Major,1.0741510499133833e-05,2764.6222222222223,10700.666666666666,478.4888888888889,1579.4222222222222,1320.0,0.016277088290142114,0.13333333333333333,22,2000,2021,1
98,38631,44,35,9,7,A4,A301,18,4,11,30,3,2,5,A4,PA,Major,2.0168945295443516e-05,2425.659090909091,17984.795454545456,576.5227272727273,2067.5227272727275,2935.8636363636365,0.01813939978824874,0.20454545454545456,22,2000,2021,1
99,6190,44,37,7,15,A10,A1202,11,3,8,30,3,2,5,A10,PA,Major,7.5170646517605e-06,4481.590909090909,26063.136363636364,1202.3181818181818,4341.727272727273,2498.840909090909,0.009817942086312693,0.1590909090909091,22,2000,2021,1
100,48543,44,40,4,14,A501,U,9,5,1,30,3,4,0,A501,PA,Major,2.3319154793412946e-05,1659.5454545454545,28768.659090909092,1352.2727272727273,4909.090909090909,1015.0,0.026513284031772118,0.09090909090909091,22,2000,2021,1
101,18604,43,36,7,8,A1211,C,8,3,8,30,3,2,5,A1211,PA,Major,1.858015316453347e-05,1169.9767441860465,18578.39534883721,797.0,3107.767441860465,373.4651162790698,0.03675286728020831,0.16279069767441862,22,2000,2021,1
102,6108,43,38,5,2,A3,C,8,5,5,30,3,2,5,A3,PA,Major,3.537577797457401e-05,3778.4883720930234,27981.95348837209,952.4883720930233,5319.790697674419,1077.1860465116279,0.011380212340360055,0.11627906976744186,22,2000,2021,1
103,17169,43,34,9,13,A501,A4200,19,3,6,30,6,2,5,A501,PA,Major,1.702227901805557e-05,1653.139534883721,50478.651162790695,2138.9767441860463,6848.046511627907,2288.5813953488373,0.026011113455722025,0.20930232558139536,22,2000,2021,1
104,46268,43,33,10,2,A23,U,17,4,10,30,3,4,0,A23,PA,Major,4.013655017428066e-05,3754.6976744186045,18188.81395348837,598.6976744186046,2967.8837209302324,1443.5116279069769,0.011452320194237297,0.23255813953488372,22,2000,2021,1
105,38592,43,37,6,13,A401,A5200,9,5,2,30,6,2,5,A401,PA,Major,2.8942294996803855e-05,3492.6279069767443,7708.581395348837,314.13953488372096,1269.8139534883721,1259.6976744186047,0.012311646457987921,0.13953488372093023,22,2000,2021,1
106,39028,42,37,5,1,A202,A3212,8,4,3,30,6,2,5,A202,PA,Major,1.4460947292911108e-05,2479.9285714285716,37069.95238095238,1343.3095238095239,7677.119047619048,2065.0714285714284,0.016935971658169877,0.11904761904761904,22,2000,2021,1
107,56512,42,35,7,11,A124,U,18,3,10,30,3,4,0,A124,PA,Major,6.848460781075644e-05,400.45238095238096,13870.047619047618,295.4761904761905,1244.404761904762,1157.2380952380952,0.10488138414887924,0.16666666666666666,22,2000,2021,1
