ID,total,slight,serious,neigh,Road_name,Road_name2,h,Day_of_Week,m,Speed_limit,Junction_Detail,Junction_Control,Pedestrian_Crossing-Physical_Facilities,bikelane,aadf_Road_name,aadf_Road_category,aadf_Road_type,aadf_CLT_CARR,aadf_CLT_SEGREG,aadf_CLT_STEPP,aadf_CLT_PARSEG,aadf_CLT_SHARED,aadf_CLT_MANDAT,aadf_CLT_ADVIS,aadf_CLT_PRIORI,aadf_CLT_CONTRA,aadf_CLT_BIDIRE,aadf_CLT_CBYPAS,aadf_CLT_BBYPAS,aadf_CLT_PARKR,aadf_CLT_WATERR,aadf_CLT_PTIME,distance_to_cp,aadf_Pedal_cycles,aadf_All_motor_vehicles,aadf_All_HGVs,aadf_LGVs,aadf_Buses_and_coaches,total_norm,serious_ratio,N_year,Year_start,Year_end,Max_year_gap
57,37827,82,72,10,13,A401,U,19,3,4,30,3,4,0,True,A401,PA,Major,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0.062210724999118026,6058.341463414634,21657.621951219513,658.1219512195122,3271.609756097561,1807.9634146341464,0.013535057489774228,0.12195121951219512,22,2000,2021,1
58,36668,82,70,12,0,A107,U,17,4,7,30,3,4,0,True,A107,PA,Major,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.21947993037278232,350.0731707317073,22636.475609756097,721.5731707317074,3063.9146341463415,1005.0731707317074,0.23423674493137323,0.14634146341463414,22,2000,2021,1
59,6752,81,73,8,0,A202,U,8,3,9,30,3,4,0,True,A202,PA,Major,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0.0850062549727983,1657.8148148148148,23478.85185185185,964.925925925926,3831.4074074074074,1620.0246913580247,0.048859498223900275,0.09876543209876543,22,2000,2021,1
60,8064,81,70,11,0,A102,U,9,3,10,30,3,4,0,False,A102,PA,Major,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.21017686533534652,528.925925925926,23617.14814814815,715.5679012345679,3873.9135802469136,968.3827160493827,0.1531405363770044,0.13580246913580246,22,2000,2021,1
61,16854,81,70,11,0,A308,U,8,4,5,30,3,4,0,True,A308,PA,Major,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.23170450572847134,1480.9012345679012,20624.0987654321,592.5802469135803,2446.3703703703704,1164.2345679012346,0.05469642276558319,0.13580246913580246,22,2000,2021,1
62,16100,80,67,13,2,A3,A3,9,2,9,30,1,4,0,True,A3,PA,Major,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0.05376641626078743,2046.2125,16638.1625,595.55,2747.7375,2971.8125,0.039096623640017834,0.1625,22,2000,2021,1
63,36946,80,69,11,0,A315,U,8,4,7,30,3,4,0,False,A315,PA,Major,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.1306888036247866,3354.7875,24526.6375,616.2125,2806.8625,1564.05,0.02384651784949121,0.1375,22,2000,2021,1
64,6757,79,71,8,0,A205,U,8,6,3,30,3,4,0,True,A205,PA,Major,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0.2066803660297074,1041.9620253164558,19651.493670886077,786.0379746835443,2721.9493670886077,535.367088607595,0.07581850209560832,0.10126582278481013,22,2000,2021,1
65,47661,79,58,21,7,A3211,na0,19,4,7,30,3,2,5,True,A3211,PA,Major,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.14147252223940807,3263.7974683544303,26863.835443037973,1136.6962025316457,4121.430379746836,700.6962025316456,0.02420493329196401,0.26582278481012656,22,2000,2021,1
66,36076,79,74,5,14,A1,U,9,4,4,30,3,4,0,True,A1,PA,Major,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0.0806784745854795,4786.151898734177,24028.772151898735,916.4050632911392,3641.721518987342,3012.3797468354433,0.016505953356995128,0.06329113924050633,22,2000,2021,1
67,16867,78,73,5,0,A315,U,19,4,5,30,3,4,0,True,A315,PA,Major,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0.1233217593608206,1253.474358974359,16083.21794871795,508.6666666666667,1843.474358974359,1252.4871794871794,0.062227040738051166,0.0641025641025641,22,2000,2021,1
68,56234,78,71,7,2,A23,U,9,2,7,30,3,2,0,True,A23,PA,Major,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0.14669263047015527,2768.6666666666665,17618.44871794872,389.97435897435895,2573.397435897436,1243.820512820513,0.028172405490007227,0.08974358974358974,22,2000,2021,1
69,16866,77,71,6,0,A315,U,8,3,5,30,3,4,0,True,A315,PA,Major,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.09644160073245858,2419.246753246753,19597.155844155845,406.2857142857143,2108.3246753246754,1242.2337662337663,0.031828088596858525,0.07792207792207792,22,2000,2021,1
70,56149,77,67,10,0,A5,U,9,6,7,30,3,4,0,True,A5,PA,Major,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0.33701271524812443,397.05194805194805,14361.0,715.5064935064935,2563.194805194805,1303.025974025974,0.1939292840087659,0.12987012987012986,22,2000,2021,1
71,16758,77,70,7,0,A214,U,9,2,3,30,3,4,0,True,A214,PA,Major,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.31379222752266955,563.4935064935065,20555.090909090908,545.1688311688312,2635.896103896104,509.97402597402595,0.13664753739427044,0.09090909090909091,22,2000,2021,1
72,6094,76,68,8,2,A2,A2,9,4,6,30,3,4,0,True,A2,PA,Major,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.29646567575359184,1275.5,12253.013157894737,431.17105263157896,2732.25,395.4736842105263,0.05958447667581341,0.10526315789473684,22,2000,2021,1
73,17569,76,66,10,0,A3205,U,8,4,7,30,3,4,0,True,A3205,PA,Major,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0.3503754043659972,2221.8815789473683,38318.71052631579,1079.9605263157894,6202.263157894737,695.6973684210526,0.03420524330374327,0.13157894736842105,22,2000,2021,1
74,47662,75,53,22,0,A3212,C,8,3,6,30,3,2,5,False,A3212,PA,Major,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0.3183939031381928,3338.6,35205.53333333333,1437.7866666666666,6506.4,349.68,0.02246450608039298,0.29333333333333333,22,2000,2021,1
75,27784,75,61,14,14,A5201,U,9,5,8,30,6,2,0,True,A5201,PA,Major,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.07145382361345118,4035.2,18506.76,588.8,3330.9866666666667,888.9466666666667,0.018586439333862014,0.18666666666666668,22,2000,2021,1
76,46783,74,61,13,2,A201,U,9,4,6,30,3,4,0,True,A201,PA,Major,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0.151049631150227,2677.5405405405404,38468.75675675676,1682.4324324324325,7104.486486486487,2782.0135135135133,0.02763730329366401,0.17567567567567569,22,2000,2021,1
77,16252,74,66,8,0,A23,U,8,5,11,30,3,4,0,True,A23,PA,Major,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0.2886378584405279,359.18918918918916,19180.08108108108,627.4054054054054,2541.8783783783783,413.2027027027027,0.20601956358164034,0.10810810810810811,22,2000,2021,1
78,17638,74,69,5,7,A4201,C,18,5,9,30,3,2,5,True,A4201,PA,Major,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0.18484868924737752,1446.3918918918919,19624.432432432433,678.418918918919,2842.9054054054054,3404.0135135135133,0.05116179122326759,0.06756756756756757,22,2000,2021,1
79,36112,73,65,8,0,A3,U,8,5,4,30,3,4,0,True,A3,PA,Major,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0.25706280256428155,516.6575342465753,29149.068493150684,929.1780821917808,3680.5342465753424,434.83561643835617,0.14129282002333227,0.1095890410958904,22,2000,2021,1
