ID,total,slight,serious,neigh,Road_name,Road_name2,h,Day_of_Week,m,Speed_limit,Junction_Detail,Junction_Control,Pedestrian_Crossing-Physical_Facilities,bikelane,aadf_Road_name,aadf_Road_category,aadf_Road_type,aadf_CLT_CARR,aadf_CLT_SEGREG,aadf_CLT_STEPP,aadf_CLT_PARSEG,aadf_CLT_SHARED,aadf_CLT_MANDAT,aadf_CLT_ADVIS,aadf_CLT_PRIORI,aadf_CLT_CONTRA,aadf_CLT_BIDIRE,aadf_CLT_CBYPAS,aadf_CLT_BBYPAS,aadf_CLT_PARKR,aadf_CLT_WATERR,aadf_CLT_PTIME,aadf_Link_length_miles,distance_to_cp,aadf_Pedal_cycles,aadf_All_motor_vehicles,aadf_All_HGVs,aadf_LGVs,aadf_Buses_and_coaches,total_dnorm,total_dnorm_bvnorm,serious_ratio,N_year,Year_start,Year_end,Max_year_gap
41,17572,96,74,22,1,A3212,U,8,2,6,30,3,4,0,True,A3212,PA,Major,True,False,False,False,False,True,True,True,False,False,False,False,False,False,True,0.99,0.18411554608855862,4861.552083333333,33534.5,1469.3854166666667,5881.625,390.7395833333333,69.22416634121389,3.3177122205062948,0.22916666666666666,22,2000,2021,1
42,73798,94,80,14,0,A24,U,8,3,1,30,3,4,0,True,A24,PA,Major,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True,0.43,0.1459997396278557,846.2765957446809,18988.90425531915,964.0531914893617,2999.404255319149,637.531914893617,85.47768152752914,23.534031185618392,0.14893617021276595,22,2000,2021,1
43,17007,93,88,5,0,A400,U,9,2,10,30,3,4,0,True,A400,PA,Major,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0.87,0.09458568906898246,2679.3118279569894,19454.548387096773,706.7096774193549,3054.3870967741937,1097.1075268817203,130.537255665541,11.351862912225124,0.053763440860215055,22,2000,2021,1
44,47088,92,79,13,0,A404,U,17,4,6,30,3,4,0,False,A404,PA,Major,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.24,0.4164465143357728,660.0978260869565,17296.41304347826,751.5,2601.8804347826085,911.7282608695652,29.32956066415331,10.352689199505845,0.14130434782608695,22,2000,2021,1
45,46435,89,74,15,0,A402,U,17,4,4,30,3,4,0,True,A402,PA,Major,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.87,0.26505028699197947,2225.2921348314608,28307.752808988764,888.7415730337078,4051.438202247191,1450.7640449438202,44.57985889223018,4.66774989193782,0.16853932584269662,22,2000,2021,1
46,38590,88,79,9,0,A315,U,18,2,7,30,3,4,0,False,A315,PA,Major,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.31,0.15552879896409624,4923.0,35585.181818181816,783.6931818181819,4128.943181818182,2135.3977272727275,75.11883008517098,3.555288931514288,0.10227272727272728,22,2000,2021,1
47,56655,87,81,6,0,A104,U,18,5,1,30,3,4,0,True,A104,PA,Major,True,False,False,False,True,False,True,True,False,False,False,True,False,False,True,0.62,0.15442057886081462,1213.287356321839,18158.908045977012,567.816091954023,1882.655172413793,842.448275862069,74.79818128665727,14.364260988118435,0.06896551724137931,22,2000,2021,1
48,26270,86,76,10,0,A23,U,18,4,5,30,3,4,0,True,A23,PA,Major,True,False,False,False,True,True,True,False,False,False,False,False,False,False,True,1.18,0.4757345865594891,957.4302325581396,30932.093023255813,1097.7906976744187,4213.3488372093025,2762.8255813953488,23.99996931877716,5.840626983685213,0.11627906976744186,22,2000,2021,1
49,26889,86,72,14,7,A301,A3200,9,6,7,30,1,4,0,True,A301,PA,Major,True,True,False,True,True,True,True,False,False,True,False,True,False,False,True,0.37,0.08228333631706476,3677.4418604651164,19861.511627906977,554.3604651162791,2547.4418604651164,3232.3837209302324,138.75975370411632,8.791715502191497,0.16279069767441862,22,2000,2021,1
50,38364,86,77,9,0,A2043,U,18,5,7,30,3,4,0,True,A2043,PA,Major,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True,2.11,0.5357596299618315,460.27906976744185,22005.6511627907,547.2558139534884,2508.360465116279,423.6162790697674,21.311078406789044,10.787979716937118,0.10465116279069768,22,2000,2021,1
